#"Step",  "Time (ps)",  "Potential Energy (kJ/mole)",  "Kinetic Energy (kJ/mole)",  "Total Energy (kJ/mole)",  "Temperature (K)",  "Speed (ns/day)"
2030000,  1014.9999999794544,  -34410.414934529814,  11181.543162822785,  -23228.87177170703,  300.13307501635563,  158
2040000,  1019.9999999793362,  -34682.10642140261,  11117.148809359574,  -23564.957612043036,  296.52204001497154,  158
2050000,  1024.9999999794452,  -34565.87929118697,  11214.109892530292,  -23351.769398656674,  299.8754620786668,  158
2060000,  1029.9999999804638,  -34124.63062147364,  11173.158362141066,  -22951.47225933257,  299.2716104358251,  158
2070000,  1034.9999999814825,  -34199.2455103128,  11015.741664303072,  -23183.503846009728,  294.21339816248525,  158
2080000,  1039.999999982501,  -34844.117030662834,  11118.697754586354,  -23725.419276076478,  298.09663732001485,  158
2090000,  1044.9999999835197,  -35001.90970839488,  11164.787292955427,  -23837.12241543945,  298.5140255395554,  158
2100000,  1049.9999999845384,  -34768.7643336808,  11239.62288831482,  -23529.14144536598,  299.92203985021035,  158
2110000,  1054.999999985557,  -34691.769680815276,  11004.618102546809,  -23687.151578268466,  294.08969499350786,  158
2120000,  1059.9999999865756,  -34393.190003914024,  10868.66090293708,  -23524.529100976943,  291.3152398080323,  158
2130000,  1064.9999999875943,  -34646.03878228786,  11175.297142125271,  -23470.74164016259,  299.58687502773256,  158
2140000,  1069.999999988613,  -34863.47956686896,  11266.343941583144,  -23597.135625285817,  300.8390160496199,  158
2150000,  1074.9999999896315,  -34679.53880132423,  11169.886728683865,  -23509.65207264036,  298.26716740682946,  158
2160000,  1079.9999999906502,  -34271.281218296055,  10889.906576562467,  -23381.374641733586,  291.2898962646038,  158
2170000,  1084.9999999916688,  -34312.42318730344,  11033.008389499373,  -23279.414797804064,  293.5537005906375,  158
2180000,  1089.9999999926874,  -34335.986710737445,  11090.225223207934,  -23245.76148752951,  296.7317555974378,  158
2190000,  1094.999999993706,  -34855.639477132216,  10961.314890149959,  -23894.324586982257,  292.23364352591483,  158
2200000,  1099.9999999947247,  -34579.55288140647,  11148.001131081373,  -23431.551750325096,  297.8729619022265,  158
2210000,  1104.9999999957433,  -34343.241661558255,  11140.499749936986,  -23202.74191162127,  297.4262269320744,  158
2220000,  1109.999999996762,  -34888.480686060895,  11145.724283605949,  -23742.756402454947,  298.2626077002668,  158
2230000,  1114.9999999977806,  -34441.595093013544,  10822.034188849844,  -23619.5609041637,  289.7957952449914,  158
2240000,  1119.9999999987992,  -34727.03761919214,  11107.829263500324,  -23619.208355691815,  297.2244550483726,  158
2250000,  1124.9999999998179,  -34467.99818317218,  11115.562536503961,  -23352.435646668222,  297.5989532418128,  158
2260000,  1130.0000000008365,  -34511.14198999477,  11379.240347923584,  -23131.90164207119,  304.466974728308,  158
2270000,  1135.0000000018551,  -34592.743310717306,  11273.710341810882,  -23319.032968906424,  301.1276161582257,  158
2280000,  1140.0000000028738,  -34457.74449223058,  11230.23772859938,  -23227.5067636312,  300.73058887115155,  158
2290000,  1145.0000000038924,  -34590.68304179243,  10911.032085579487,  -23679.650956212943,  291.9707343116224,  158
2300000,  1150.000000004911,  -34593.51255507433,  11082.268866360968,  -23511.243688713366,  295.7393923723072,  158
2310000,  1155.0000000059297,  -34609.11229959439,  10743.287608843553,  -23865.824690750836,  287.67511771660645,  158
2320000,  1160.0000000069483,  -34455.98554984039,  11008.108654360412,  -23447.87689547998,  293.92798457497145,  158
2330000,  1165.000000007967,  -34561.62475360142,  11289.861995135081,  -23271.76275846634,  302.71143671183574,  158
2340000,  1170.0000000089856,  -34820.98593998013,  11383.369276660052,  -23437.616663320077,  303.12051871631957,  158
2350000,  1175.0000000100042,  -34660.092482216685,  11122.262856228795,  -23537.82962598789,  297.6259315348418,  158
2360000,  1180.0000000110228,  -34425.78966693151,  10869.520903353154,  -23556.268763578355,  291.23356626921293,  158
2370000,  1185.0000000120415,  -34513.37472761036,  11125.686940247406,  -23387.687787362956,  297.7539715683352,  158
2380000,  1190.0000000130601,  -34556.20536058295,  11103.577252949539,  -23452.628107633413,  296.6793343626291,  158
2390000,  1195.0000000140788,  -34864.27936303983,  11065.680856168052,  -23798.59850687178,  295.76126257502574,  158
2400000,  1200.0000000150974,  -34170.97098467447,  11213.140584320994,  -22957.83040035348,  299.9961547805397,  158
2410000,  1205.000000016116,  -34570.35656545276,  11190.65541007553,  -23379.70115537723,  298.59312157529,  158
2420000,  1210.0000000171347,  -34728.40524855668,  10932.639479721374,  -23795.765768835307,  293.34201208006004,  158
2430000,  1215.0000000181533,  -34517.84224728611,  10957.852100337346,  -23559.990146948767,  293.12148622652506,  158
2440000,  1220.000000019172,  -34372.49104782308,  10995.523948408372,  -23376.96709941471,  294.20421308744534,  158
2450000,  1225.0000000201906,  -34755.11347293357,  11287.937742247635,  -23467.175730685933,  301.15653317849046,  158
2460000,  1230.0000000212092,  -34297.1690582288,  10799.019703550652,  -23498.14935467815,  289.28596664295037,  158
2470000,  1235.0000000222278,  -34602.37960634724,  11130.680807797373,  -23471.698798549867,  297.3242711295215,  158
2480000,  1240.0000000232465,  -33853.341794266315,  10829.402283768137,  -23023.939510498178,  289.9855055990293,  158
2490000,  1245.000000024265,  -34688.5764218496,  10992.408826131303,  -23696.167595718296,  294.23445816983747,  158
2500000,  1250.0000000252837,  -34286.29134475943,  11187.917635836091,  -23098.37370892334,  298.66870294573613,  158
2510000,  1255.0000000263024,  -34439.593235496875,  11261.202355701833,  -23178.390879795043,  300.835889607252,  158
